Jumlah,tanggal
1,08-12-2021
1,06-09-2022
2,16-02-2023
1,05-01-2020
1,29-09-2021
2,18-10-2022
1,03-09-2023
1,16-07-2023
1,02-04-2023
1,05-08-2020
2,19-12-2020
3,24-10-2023
1,16-02-2023
2,29-08-2023
11,09-03-2020
12,21-03-2021
13,24-06-2021
14,10-01-2022
15,16-03-2022
16,13-08-2022
17,01-11-2022
18,06-05-2023
19,09-07-2023
1,13-01-2020
2,10-05-2020
3,05-07-2022
1,16-06-2021
2,16-12-2022
1,24-11-2021
1,04-08-2022
1,07-02-2022
1,15-10-2021
1,24-04-2021
12,21-12-2020
13,29-06-2021
14,28-08-2021
15,31-10-2021
15,05-01-2022
16,08-01-2022
17,20-11-2022
18,19-01-2023
18,21-03-2023
19,24-05-2023
20,25-07-2023
21,25-09-2023
13,24-02-2020
14,07-05-2020
7,11-01-2020
17,17-09-2021
18,20-05-2022
19,07-10-2022
20,05-01-2023
21,16-05-2023
22,03-10-2023
3,10-02-2022
13,14-01-2020
14,14-06-2020
15,13-08-2020
14,08-02-2020
15,02-01-2021
16,04-03-2021
17,04-05-2021
18,03-08-2021
19,08-03-2022
20,16-04-2023
9,06-02-2022
10,04-05-2022
11,06-02-2023
12,24-09-2023
8,25-01-2022
9,26-04-2022
10,17-07-2022
1,06-02-2022
1,18-02-2021
1,16-10-2023
1,14-02-2022
1,07-01-2023
3,28-09-2020
4,24-12-2020
5,24-02-2021
6,02-06-2021
7,01-08-2021
8,04-10-2021
9,04-12-2021
10,28-05-2022
1,01-01-2020
1,29-01-2022
2,21-04-2022
1,14-03-2023
1,14-03-2023
1,22-10-2021
1,05-07-2022
1,15-10-2020
1,14-04-2022
1,21-01-2020
1,29-01-2021
1,29-01-2021
1,21-05-2021
2,26-07-2021
3,05-07-2022
1,11-05-2020
2,10-02-2021
3,31-10-2021
1,10-01-2022
1,10-11-2022
1,12-07-2022
1,08-09-2022
1,30-12-2020
1,30-12-2020
2,19-02-2023
1,02-06-2020
2,14-02-2021
3,19-04-2021
3,30-08-2021
4,02-04-2022
1,23-05-2021
1,29-12-2021
1,24-06-2022
1,05-02-2023
1,09-10-2021
1,09-10-2021
1,10-08-2022
1,22-01-2021
1,22-01-2021
1,18-06-2022
2,04-09-2022
3,13-11-2022
1,02-12-2020
2,09-02-2021
1,17-07-2021
2,11-12-2021
3,26-02-2022
1,01-06-2023
1,12-11-2021
2,28-02-2022
1,09-06-2022
1,27-05-2022
1,06-10-2022
1,21-11-2022
1,10-02-2022
2,27-05-2022
1,31-01-2020
1,26-12-2020
1,30-05-2023
1,30-05-2023
1,15-01-2020
1,24-09-2020
1,08-09-2022
1,11-01-2020
1,25-01-2023
1,14-03-2020
22,26-01-2020
23,07-04-2020
24,13-06-2020
25,21-08-2020
1,21-09-2022
2,26-09-2023
1,14-03-2023
2,24-10-2023
1,11-02-2020
1,25-11-2021
1,10-10-2020
1,03-08-2021
1,24-06-2022
1,13-03-2023
1,20-01-2021
1,28-08-2022
1,06-05-2023
1,09-11-2021
4,22-10-2021
1,19-01-2022
1,23-02-2021
2,06-02-2022
3,02-05-2023
1,09-09-2021
1,21-03-2022
2,03-11-2022
1,16-02-2023
1,06-08-2020
2,09-01-2021
1,05-05-2023
1,08-02-2023
2,02-08-2023
1,25-09-2022
2,14-06-2023
1,13-03-2023
1,27-07-2023
1,06-05-2022
1,26-09-2021
1,06-05-2022
1,07-06-2023
1,07-06-2023
1,12-08-2023
1,25-12-2021
1,10-10-2023
1,01-08-2021
1,29-01-2022
1,28-12-2022
1,29-05-2023
1,07-07-2023
1,26-09-2021
1,10-08-2022
1,05-12-2020
2,11-06-2021
3,15-08-2021
4,14-10-2021
5,10-01-2022
6,11-08-2023
7,10-10-2023
1,11-11-2021
1,15-04-2021
1,28-12-2022
1,01-08-2020
1,21-12-2020
1,02-02-2022
1,20-07-2023
1,27-10-2021
1,13-01-2023
1,28-02-2022
2,30-10-2022
3,28-07-2023
1,15-10-2021
1,13-07-2022
1,21-12-2020
1,31-12-2021
1,31-10-2021
1,01-11-2022
1,14-10-2021
1,21-09-2023
1,22-01-2020
3,18-06-2022
4,27-08-2022
5,01-11-2022
6,14-02-2023
7,31-08-2023
1,08-03-2023
2,13-07-2023
1,04-08-2023
1,01-10-2022
2,15-10-2023
1,30-10-2022
1,27-10-2021
2,02-08-2022
1,13-07-2022
1,27-02-2022
4,13-07-2022
5,18-01-2023
1,19-03-2023
2,13-08-2023
1,19-01-2023
1,16-04-2021
1,20-09-2021
2,16-02-2023
1,06-09-2022
1,14-10-2021
1,06-09-2022
1,25-12-2021
1,23-12-2021
1,16-02-2023
1,02-04-2022
1,15-10-2020
2,20-09-2021
1,28-12-2022
1,19-12-2020
1,14-01-2022
1,01-08-2021
1,15-03-2023
1,09-07-2023
1,04-02-2023
1,04-08-2020
1,14-02-2022
24,17-08-2020
25,20-03-2021
1,02-02-2022
1,27-08-2021
1,03-08-2023
1,19-02-2021
2,08-06-2021
1,14-02-2022
1,15-10-2021
1,27-08-2023
1,05-08-2023
1,20-09-2023
1,16-02-2023
2,13-06-2023
3,29-08-2023
1,16-02-2020
1,15-03-2020
1,17-09-2021
1,03-04-2023
1,19-01-2023
1,24-10-2023
1,03-07-2021
1,24-06-2022
1,27-03-2020
1,16-06-2023
1,01-11-2022
1,20-09-2023
1,28-01-2020
1,01-10-2020
1,01-02-2022
1,10-05-2023
1,09-11-2020
1,15-10-2020
1,12-03-2021
1,10-07-2021
1,05-06-2022
1,06-09-2022
1,19-09-2020
1,28-12-2022
1,25-12-2020
1,19-09-2020
1,17-09-2020
1,06-09-2022
1,04-02-2023
1,19-02-2021
1,16-02-2023
1,29-09-2020
1,24-08-2020
1,04-08-2020
1,06-09-2022
2,16-02-2023
1,09-05-2023
1,02-02-2020
1,16-02-2023
1,11-02-2023
1,02-08-2022
1,02-08-2022
1,31-08-2021
1,15-10-2020
1,18-11-2022
2,14-08-2023
1,02-08-2023
1,10-06-2021
1,11-02-2023
1,15-03-2022
1,26-11-2020
1,12-01-2022
1,16-04-2021
1,20-09-2023
1,10-10-2023
1,09-07-2020
1,11-02-2020
1,05-06-2022
1,01-02-2021
1,13-05-2021
1,17-10-2023
1,16-01-2022
1,11-02-2023
1,13-03-2023
1,15-10-2021
1,22-01-2023
1,26-10-2022
1,15-01-2022
1,26-10-2022
1,26-10-2022
2,25-12-2022
1,14-03-2023
2,24-10-2023
1,04-09-2022
1,26-10-2022
1,21-09-2021
2,29-07-2022
1,25-10-2022
1,28-04-2021
1,21-03-2022
1,17-01-2022
1,27-09-2021
1,05-03-2020
1,19-06-2023
1,26-07-2023
1,29-07-2022
1,31-07-2021
1,27-11-2021
1,31-07-2023
1,31-07-2021
1,01-06-2023
1,01-08-2021
1,31-07-2021
1,16-03-2022
2,21-03-2023
2,12-09-2022
2,19-08-2020
3,02-11-2020
4,12-01-2021
3,17-09-2022
4,24-12-2022
5,30-05-2023
2,15-01-2020
3,12-02-2020
4,27-09-2020
5,06-02-2021
6,09-05-2021
7,25-08-2021
8,13-11-2021
9,05-03-2022
10,03-06-2022
11,07-08-2022
12,30-10-2022
13,18-01-2023
14,08-06-2023
15,08-08-2023
2,24-06-2022
2,24-12-2020
3,04-03-2021
4,29-07-2022
5,02-12-2022
6,01-03-2023
7,11-06-2023
2,05-03-2020
2,23-08-2020
3,01-11-2020
4,22-12-2021
5,19-03-2022
6,30-10-2022
2,28-03-2022
2,12-09-2022
2,04-03-2021
3,01-03-2023
4,11-06-2023
3,25-01-2022
4,27-05-2022
5,10-03-2023
6,10-07-2023
3,12-11-2021
3,21-01-2022
2,21-01-2022
2,30-01-2020
3,06-02-2023
2,09-05-2020
3,31-10-2021
4,29-01-2023
2,01-06-2021
3,02-12-2020
4,16-03-2021
5,20-04-2022
6,14-09-2022
6,29-12-2022
7,20-09-2023
5,07-08-2020
6,09-11-2020
7,20-01-2021
2,24-06-2023
3,23-10-2023
2,28-01-2020
3,21-02-2023
2,28-01-2020
3,21-05-2023
4,08-09-2022
5,22-01-2023
4,23-02-2020
5,06-12-2020
6,28-02-2021
7,13-06-2021
8,16-01-2022
9,02-04-2022
10,17-07-2022
11,02-10-2022
12,08-01-2023
13,27-08-2023
4,04-07-2022
2,29-04-2022
3,12-10-2022
4,29-01-2023
2,19-02-2023
5,19-01-2020
4,20-02-2020
5,13-06-2020
6,17-09-2020
7,04-02-2021
8,04-09-2021
9,24-08-2022
10,18-12-2022
11,25-05-2023
